# Evaluate BaseMAD on slider_dev dataset using model ""Qwen/Qwen3-Next-80B-A3B-Instruct"
# skeptic_temperature is set as 0.0, max_tokens as 3000

Final Execution Accuracy: 816/1034 = 0.7892

Latency summary (total | avg per example | examples):
  Planner           :     426.19s |       0.41s | 1034
  Defender (total)  :     690.90s |       0.67s | 483
  Skeptic (total)   :     579.05s |       0.56s | 483
  Debate (total)    :    1269.95s |       1.23s | 483
  Reasoner decision :     778.89s |       0.75s | 1033
  SQL generation    :     315.41s |       0.31s | 1033
  Execution         :      64.67s |       0.06s | 1033
  Whole system      :    3205.16s |       3.10s | 1034


#log in Exp/logs/Qwen3/BaseMAD_run3_log1.json
  #skeptic_temperature is set as 0.2, max_tokens as 3000

  Final Execution Accuracy: 805/1034 = 0.7785

  Latency summary (total | avg per example | examples):
  Planner           :     425.07s |       0.41s | 1034
  Defender (total)  :    1630.10s |       1.58s | 1034
  Skeptic (total)   :    1429.21s |       1.38s | 1034
  Debate (total)    :    3059.31s |       2.96s | 1034
  Reasoner decision :     828.30s |       0.80s | 1034
  SQL generation    :     322.76s |       0.31s | 1034
  Execution         :     180.77s |       0.17s | 1034
  Whole system      :    4832.75s |       4.67s | 1034


#log in Exp/logs/Qwen3/BaseMAD_run4_log1.json
  #skeptic_temperature is set as 0.2, max_tokens as 6000

    Final Execution Accuracy: 807/1034 = 0.7805

  Latency summary (total | avg per example | examples):
  Planner           :     414.67s |       0.40s | 1034
  Defender (total)  :    1562.47s |       1.51s | 1034
  Skeptic (total)   :    1378.69s |       1.33s | 1034
  Debate (total)    :    2941.16s |       2.84s | 1034
  Reasoner decision :     805.55s |       0.78s | 1034
  SQL generation    :     301.98s |       0.29s | 1034
  Execution         :      28.34s |       0.03s | 1034
  Whole system      :    4503.85s |       4.36s | 1034
